strain	Albendazole_q90.TOF	Ivermectin_mean.TOF	Levamisole_mean.TOF
NIC501	-47.13676565966061	19.906233598362206	NA
NIC511	-85.50800635320637	4.845249721400798	14.026051588977502
NIC513	-22.53126992335121	-19.029643845679402	-39.025170089989714
NIC514	-58.957994301933425	-14.860370113278824	-14.760660047395593
NIC515	25.36059458138502	59.953850934865365	28.401879260031432
NIC522	-63.59018409712839	-34.45702978878363	-12.424487199999307
NIC523	NA	NA	NA
NIC526	-3.835286717224236	-38.744791214695866	-17.81038446888253
NIC527	13.390217174257378	13.292223680297793	-4.590317222196813
NIC528	-0.28677847255749134	26.460973759334006	11.682526454232182
NIC529	-56.92102173960256	-19.017367028492107	22.66397743135309
PB303	-13.394035641367557	NA	NA
PS2025	83.85861759877332	27.163118543001527	NA
PX179	-25.928457994217567	NA	33.45299411304905
QG2075	9.899267541999311	-11.509145030627757	NA
QG556	146.13751200556231	0.8728705324037627	9.001942767163085
QG557	-31.389662653239622	6.752595706999936	-7.035025074560538
QW947	NA	NA	3.7909265372689234
QX1212	135.0361494171919	-7.679413945379359	10.786393204010936
QX1233	121.18854243158049	-18.07476287168676	-22.628657520548973
QX1791	-0.3478078219180834	-29.46488459811006	-34.16831363977981
QX1792	-34.926686674670606	-51.07446223754352	-6.270029224644304
QX1793	2.5501200821943497	32.7941383935017	NA
QX1794	-47.299564814411085	NA	NA
RC301	-55.30507284510657	-7.87811447883089	-12.96575330833777
WN2001	-56.50890744476734	-48.946778784892885	14.466728738680864
WN2033	121.1430741935481	-12.253435182214819	-18.242599309378598
WN2050	-52.145062811797196	55.285040808630406	-3.4345061156115975
XZ1513	17.85907105501198	-33.73145732998176	45.831626182272586
XZ1514	NA	NA	NA
XZ1516	-54.37902234802093	-36.23843731138545	10.562486399778553
